,robot_id,sum_running_time,avg_inst_temperature,sum_running_circles,avg_current_fluctuation,joint
26,Zu7250739,1646359,52.85826376,1761350.0,9.49558808,6
27,Zu5120148,337978,50.09724793,306230.0,8.505294335,6
28,Zu7250801,338093,51.93468301,392586.0,16.99525136,6
29,Zu7250790,910564,50.54758544,960148.0,17.17241719,6
30,Zu7250806,243868,53.16979676,259309.0,13.3505274,6
31,Zu7250740,1906306,52.37768757,2239050.0,15.04766269,6
32,Zu7250809,252191,52.59216237,277534.0,11.34528976,6
33,Zu7250800,242653,52.5235464,264688.0,14.10925531,6
34,Zu7250812,242064,53.57458354,263225.0,11.61118122,6
35,Zu7250795,237591,52.81750387,184142.0,4.764401294,6
36,Zu7250811,244323,52.73506629999999,266545.0,14.67414993,6
37,Zu7250805,243727,53.46361009,300584.0,13.83000525,6
38,Zu7250815,238737,53.36454286,259092.0,11.42864543,6
39,Zu7250797,236612,52.97227285,256631.0,10.85303306,6
40,Zu7250777,1317937,52.71362294,393495.0,10.96364403,6
41,Zu7210031,11698161,54.48570915,1778704.0,0.074330397,6
42,Zu7250813,243977,53.55102303,265776.0,12.58666838,6
43,Zu7210180,11901451,58.45465724,690507.0,6.278358438,6
